,T,s,S,R3,z,Z,R2,E,N
cell_3055,False,False,True,True,False,True,True,True,True
cell_3109,True,False,True,True,False,False,True,False,True
cell_3142,False,True,False,False,False,False,True,True,True
cell_3183,True,False,False,False,True,True,False,False,True
cell_3188,True,True,False,False,False,True,True,False,False
cell_3202,False,True,True,True,True,False,False,True,False
cell_3319,True,True,True,True,True,False,True,True,True
cell_3333,False,True,True,False,False,True,True,True,True
cell_3376,True,True,True,False,True,False,True,False,True
cell_3709,False,False,True,True,False,False,False,True,True
cell_3821,False,False,False,False,False,True,False,True,False
cell_4030,True,True,True,True,True,False,False,False,True
cell_4396,True,True,False,False,True,True,False,False,True
cell_4546,False,True,False,True,True,False,True,True,False
cell_6559,True,False,False,True,False,False,True,True,True
