,T,s,S,R3,z,Z,R2,E,N
cell_1898,False,True,False,True,False,True,True,True,True
cell_1919,False,True,True,True,True,True,False,False,False
cell_1968,False,False,True,False,True,True,False,True,False
cell_1980,True,True,False,False,False,False,False,False,True
cell_1988,True,True,True,True,False,True,True,False,False
cell_1996,True,False,False,True,True,True,True,True,True
cell_2047,True,False,True,False,True,True,True,True,True
cell_2053,True,True,False,False,True,False,True,True,False
cell_2144,True,True,True,False,True,False,False,True,True
cell_2146,True,True,True,False,True,True,True,True,False
cell_2203,False,True,False,False,False,True,False,True,True
cell_2334,True,False,True,False,True,False,True,False,True
cell_2344,False,True,False,False,True,False,False,True,True
cell_2348,False,False,False,False,False,False,False,True,True
cell_2399,True,True,True,True,True,False,False,False,False
cell_2409,True,True,True,False,True,True,False,False,False
cell_2484,False,False,False,True,False,False,True,True,True
cell_2539,True,True,True,True,True,True,False,False,True
cell_2681,True,True,True,False,True,False,False,False,False
cell_2744,False,True,True,False,False,False,False,False,False
cell_2793,False,False,True,True,True,False,True,False,False
cell_2794,False,True,True,True,True,False,True,False,False
cell_2861,False,False,True,True,True,True,True,False,False
cell_3080,False,True,False,True,True,False,True,True,True
cell_3094,True,True,True,False,True,False,True,False,False
cell_3096,True,True,True,True,True,False,True,False,False
cell_3112,False,False,True,True,False,False,False,True,True
cell_3132,False,False,False,False,False,False,True,False,True
cell_3214,False,False,False,True,False,True,False,False,True
cell_3458,True,True,True,True,False,False,True,False,False
cell_3808,True,True,True,True,True,True,True,False,False
cell_3907,True,True,False,True,True,False,False,False,True
cell_4068,True,True,True,False,False,False,True,False,False
cell_4168,True,True,True,True,False,True,False,False,False
cell_5187,True,True,False,False,False,False,True,False,False
cell_5637,False,True,True,True,False,True,False,False,False
